{{0,20,24,28,30,50,72,91,140,233,245,248,268,528,999},
{20,0,13,32,15,45,81,102,150,244,256,259,279,549,980},
{24,13,0,29,12,41,77,98,146,240,252,255,275,545,976},
{28,32,29,0,32,61,86,107,156,250,262,265,285,555,986},
{30,15,12,32,0,30,66,87,135,229,241,244,264,534,965},
{50,45,41,61,30,0,38,59,108,202,214,217,237,507,938},
{72,81,77,86,66,38,0,21,70,164,176,179,199,469,900},
{91,102,98,107,87,59,21,0,49,143,155,158,178,448,879},
{140,150,146,156,135,108,70,49,0,94,106,109,129,399,830},
{233,244,240,250,229,202,164,143,94,0,12,15,35,305,736},
{245,256,252,262,241,214,176,155,106,12,0,3,23,293,724},
{248,259,255,265,244,217,179,158,109,15,3,0,20,290,721},
{268,279,275,285,264,237,199,178,129,35,23,20,0,270,701},
{528,549,545,555,534,507,469,448,399,305,293,290,270,0,431},
{999,980,976,986,965,938,900,879,830,736,724,721,701,431,0}}
